,Name,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Vegan Friendly,Price Option 4,Wine Body
0,Unknown,,,,,,,,,,,,,,,,,,
1,Southside Chardonnay,13.5% (2014),Lenton Brae,Screw Cap,Australia,2014*,$23.75 in any six,$285.00 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8 (2014),Western Australia,Chardonnay,Dry,,,
2,Unwooded Chardonnay,11.5% (2011),Scarpantoni,Screw Cap,Australia,2011*,$15.19 in any six,$182.28 per case of 12,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,6.8 (2011),South Australia,Chardonnay,Dry,,,
3,Orange Sauvignon Blanc,13%,Hear No Evil,Screw Cap,Australia,2017*,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Orange,750mL,7.7,New South Wales,Sauvignon Blanc,Dry,,,
4,Botrytis Semillon 375mL,9%,Margan,Screw Cap,Australia,2015,$21.85 in any six,$262.20 per case of 12,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,375mL,2.7,New South Wales,Semillon,Sweet,,,
5,Chardonnay,13.5% (2015),Bromley by Wolf Blass,Screw Cap,Australia,2015*,$14.88 in any six,$89.28 per case of 6,$14.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,8 (2015),South Australia,Chardonnay,Dry,,,
6,Late Harvest Riesling 500mL,7.8%,Bethany,Cork,Australia,2017*,$21.90 in any six,$262.80 per case of 12,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,500mL,3.1,South Australia,Riesling,Sweet,,,
7,Farm to Table Chardonnay,12%,Fowles Wine,Screw Cap,Australia,2017*,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.1,Victoria,Chardonnay,Dry,,,
8,Premium Reserve Chardonnay,12%,Warburn,Screw Cap,Australia,2018*,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,7.1,South Australia,Chardonnay,Dry,,,
9,Premium Traminer Riesling Cask 4L,11%,Warburn,Cask Closure,Australia,Non Vintage*,$13.99 each,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,4L,35.0,,Traminer Riesling,Sweet,,,
10,Louisa Sticky Gewürztraminer 375mL,9.1%,Spring Vale,Screw Cap,Australia,2017*,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",East Coast Tasmania,375mL,2.7,Tasmania,Gewürztraminer,Dry,,,
11,The Virgilius Viognier,12.5%,Yalumba,Screw Cap,Australia,2016*,$41.80 in any six,$250.80 per case of 6,$43.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,750mL,7.4,South Australia,Viognier,Dry,true,,
12,Sauvignon Blanc,12.9% (2012),Fox Creek,Screw Cap,Australia,2012*,$20.00 in any six,$240.00 per case of 12,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,7.6 (2012),South Australia,Sauvignon Blanc,Dry,,,
13,Botrytis Semillon 375mL,10.5% (2014),Walker Grove,Screw Cap,Australia,2014*,$10.00 in any six,$120.00 per case of 12,$10.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,375mL,3.1 (2014),South Australia,Semillon,Sweet,,,
14,Limestone Coast Chardonnay,12.5%,The Mix Tape,,Australia,2016,$10.00 in any six,$60.00 per case of 6,$10.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.4,,Chardonnay,,,,
15,Single Vineyard Tumbarumba Chardonnay,13.5%,McWilliam's,Screw Cap,Australia,2015*,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,"Awards: 2 Gold - Perth Royal Wine Show 2016, Tumbarumba Wine Show 2015",Tumbarumba,750mL,8.0,New South Wales,Chardonnay,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
16,Botrytis Semillon 375mL,11%,Peter Lehmann,Screw Cap,Australia,2016*,$18.95 in any six,$227.40 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,375mL,3.3,South Australia,Semillon,Sweet,,,
17,Verdelho,14%,Allandale,Screw Cap,Australia,2016*,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,750mL,8.3,New South Wales,Verdelho,Dry,,,
18,Are You Game? Chardonnay,13.5%,Fowles Wine,Screw Cap,Australia,2016*,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Strathbogie Ranges,750mL,8.0,Victoria,Chardonnay,Dry,,,
19,Sauvignon Blanc Semillon,13.0% (2015),Flametree,Screw Cap,Australia,2015*,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.7 (2015),Western Australia,Sauvignon Blanc Semillon,Dry,,Ranked 23 of 24 Sauvignon Blanc from Margaret River,
20,Stockhausen Chardonnay,13%,Briar Ridge,,Australia,2017*,$31.40 in any six,$376.80 per case of 12,$32.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,750mL,7.7,,Chardonnay,Dry,,,
21,La Perdrix de l'Année Muscadet,12.0%,Les Betes Curieuses,,Australia,,$29.95 per bottle,$359.40 per case of 12,,,,750mL,7.1,,Muscadet,,,,
22,Fiano,12.5% (2014),Chalmers,Screw Cap,Australia,2014*,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Heathcote,750mL,7.4 (2014),Victoria,Fiano,Dry,,,
23,Tumbarumba Chardonnay 2017,12.8,Eden Road,Screw Cap,Australia,,$29.99 per bottle,$179.94 per case of 6,,,Canberra,750mL,7.6,Australian Capital Territory,Chardonnay,,,,
24,Riesling,12%,Frankland Estate,Screw Cap,Australia,2017*,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Frankland River,750mL,7.1,Western Australia,Riesling,Dry,,Ranked 11 of 35 Riesling from Great Southern,
25,Dragonfly Sauvignon Blanc Semillon,12.8% (2015),Willowbridge Estate,Screw Cap,Australia,2015*,$14.25 in any six,$171.00 per case of 12,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.6 (2015),Western Australia,Sauvignon Blanc Semillon,Dry,,,
