,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 4,Vegan Friendly,Wine Body,Langtons Classified,Organic,Price Option 5
0,12.5%,Penfolds,Screw Cap,Australia,2017,Bin 51 Eden Valley Riesling 2017,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,Ranked 4 of 27 Riesling from Eden Valley,Eden Valley,750mL,7.4,South Australia,Riesling,Dry,,,,,,
1,13%,Hardys,Screw Cap,Australia,2012,Eileen Hardy Chardonnay 2012,$85.50 in any six,$513.00 per case of 6,$89.99 per bottle,"Awards: Gold: International Wine Challenge, 2014",McLaren Vale,750mL,7.7,South Australia,Chardonnay,Dry,,,,,,
2,11.2,James Estate,Screw Cap,Australia,2016*,Semillon 2016,$14.95 per bottle,$85.43 per case of 6,"Awards: Huon Hooke - Silver - 90/100
Palish colour with a crisp, sulfur and lightly herbal aroma, some snowpea and grassy-straw notes. The wine is tangy and crisp in the mouth, lean and lively with abundany acidity and aerial lightness. But it also has intensity and length. A very good classically styled young semillon. 04 MAR 2017",Ranked 12 of 38 Sémillon from Hunter,Hunter Valley,750mL,6.6,,Semillon,,,,,,,
3,14.5% (2016),Quealy,Screw Cap,Australia,2016,Tussie Mussie Pinot Gris 2016,$28.49 in any six,$170.94 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,8.6 (2016),Victoria,Pinot Gris,Dry,,,,,,
4,13%,Bimbadgen,Screw Cap,Australia,2018*,Verdelho,$16.99 in any six,$194.40 per case of 12,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,750mL,7.7,New South Wales,Verdelho,Dry,,,,,,
5,13.0% (2013),Eden Road,Screw Cap,Australia,2013*,The Long Road Chardonnay,$23.75 in any six,$142.50 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur",Tumbarumba,750mL,7.7 (2013),New South Wales,Chardonnay,Dry,,,,,,
6,12.5% (2015),Kellermeister,Screw Cap,Australia,2015*,The Rambling Ruins Pinot Gris,$20.89 in any six,$125.34 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,750mL,7.4 (2015),South Australia,Pinot Gris,Dry,,,,,,
7,13%,Cleanskin,Screw Cap,Australia,2018,Brown Label Chardonnay 2018,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,,Adelaide Hills,750mL,7.7,South Australia,Chardonnay,,,,,,,
8,13.0% (2016),Fulcrum,Screw Cap,Australia,2016*,Chardonnay,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,7.7 (2016),Victoria,Chardonnay,Dry,,,,,,
9,9.50%,Sunnyvale,Cask Closure,Australia,Non Vintage,Dry White Cask 4L,$13.99 each,$26.60 per case of 2,,,Riverland,4L,30,New South Wales,White Blend,Dry,,,,,,
