,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Vegan Friendly,Price Option 4,Organic,Langtons Classified
0,14.5%,Rymill,Screw Cap,Australia,2015*,Local Squire Cabernet Sauvignon,$13.29 in any six,$79.74 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.5,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
1,14.5%,McLaren Vale III Associates,Screw Cap,Australia,2017*,The Descendant of Squid Ink Shiraz,$40.90 in any six,$245.40 per case of 6,$42.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
2,14.4%,Highroller,Screw Cap,Australia,2017*,Shiraz Cabernet,$10.00 in any six,$60.00 per case of 6,$10.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,,Shiraz Cabernet,,,true,,,
3,14%,Saltram,Screw Cap,Australia,2011,Mamre Brook Shiraz 2011,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,"Awards: Decanter World Wine Awards, 2014: Commended 
International Wine Challenge, 2014: Silver",Barossa  Valley,750mL,8.3,South Australia,Shiraz,,,,,,
4,14.5%,Stockman's Ridge Wine,Screw Cap,Australia,,Outlaw Cabernet Sauvignon 2009,$40.00 per bottle,$480.00 per case of 12,"Awards: Bronze Medal 2010 - Orange Wine Show
Bronze Medal 2011 - Australian Cool Climate Wine Show
Bronze Medal 2011 - NSW Small Winemakers Wine Show
Bronze Medal 2012 - Cowra Wine Show
Bronze Medal 2012 - NSW Small Winemakers Wine Show
Bronze Medal 2012 - National Cool Climate Wine Show
Bronze Medal 2012 - Orange Wine Show
Bronze Medal 2015 - NSW Small Winemakers Wine Show",,,750mL,8.6,New South Wales,Cabernet Sauvignon,Full Bodied,Dry,,,,
5,13.3%,Briar Ridge,,Australia,2016*,Stockhausen Shiraz,$37.10 in any six,$445.20 per case of 12,$38.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,750mL,7.9,,Shiraz,Full Bodied,Dry,,,,
6,14.0% (2014),McGuigan,Screw Cap,Australia,2014*,The Founders Mataro,$12.30 in any six,$73.80 per case of 6,$12.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Limestone Coast,750mL,8.3 (2014),South Australia,Mataro,,Dry,,,,
7,14.0% (2014),Quealy,Screw Cap,Australia,2014*,Rageous Red Blend,$38.00 in any six,$456.00 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,8.3 (2014),Victoria,Red Blend,,Dry,,,,
8,13.0% (2013),Blackjack,,Australia,2013*,Shiraz,$37.99 in any six,$456.00 per case of 12,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Bendigo,750mL,8 (2013),Victoria,Shiraz,Full Bodied,Dry,,Ranked 15 of 50 Shiraz from Central Victoria,,
9,12.5%,Forester Estate,,Australia,2018*,Lifestyle Rose,$19.00 in any six,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,7.4,Western Australia,Rosé,,,,,,
10,14.0% (2014),La Bise,Screw Cap,Australia,2014*,Sangiovese,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,8.3 (2014),South Australia,Sangiovese,Medium Bodied,Dry,,,,
11,14.5%,Pertaringa,Screw Cap,Australia,2015*,Understudy Cabernet Sauvignon Petit Verdot,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon Petit Verdot,,Dry,,,,
12,14.5%,Kirrihill,Screw Cap,Australia,2016*,Tullymore Vineyard Shiraz,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,Awards: Gold Medal - Royal Melbourne Wine Show 2016 & NZ International Wine Show 2016,Clare Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
13,13.5% (2017),Audrey Wilkinson,Screw Cap,Australia,2017*,Tempranillo,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,Awards: Gold Medal - Australian Alternative Varieties Show (2017),Hunter Valley,750mL,7.4 (2015),New South Wales,Varietals,,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
14,13.4%,Oakridge,Screw Cap,Australia,2017*,Over The Shoulder Cabernet Merlot,$18.10 in any six,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 9 of 27 Cabernet Sauvignon from Australia,Yarra Valley,750mL,7.9,Victoria,Cabernet Merlot,Medium Bodied,Dry,,,,
15,14%,Thistle Hill,Screw Cap,Australia,2018*,Preservative Free Shiraz,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mudgee,750mL,8.3,New South Wales,Shiraz,Full Bodied,Dry,,,true,
