,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Style,Langtons Classified,Price Option 3,Price Option 4,Wine Body,Organic,Vegan Friendly,Price Option 5
0,13.50%,Mitchell,Screw Cap,Australia,2005,Watervale Riesling 2006,$21.90 in any six,$262.80 per case of 12,$22.90 per bottle,Clare Valley,750mL,8,South Australia,Riesling,Dry,,,,,,,
1,,,,,,Unknown,,,,,,,,,,,,,,,,
2,14.00%,Giaconda,Cork,Australia,2006,Chardonnay 2006,$189.99 per bottle,,,Beechworth,750mL,8.3,Victoria,Chardonnay,Dry,Exceptional,,,,,,
3,13.00%,Petaluma,Cork,Australia,2004,Hanlin Hill Riesling 2004,$31.35 in any six,$32.99 per bottle,Ranked 6 of 28 Riesling from South Australia,Clare Valley,750mL,7.7,South Australia,Riesling,Dry,Excellent,,,,,,
4,10.00%,Grosset,Screw Cap,Australia,2004,Polish Hill Riesling 2004,$69.99 per bottle,,,Clare Valley,750mL,5.9,South Australia,Riesling,Dry,Exceptional,,,,,,
5,13.00%,Grosset,Screw Cap,Australia,2004,Watervale Riesling 2004,$59.99 per bottle,,,Clare Valley,750mL,7.7,South Australia,Riesling,Dry,Outstanding,,,,,,
6,12.5% (2015),You,Screw Cap,Australia,2015*,Pinot Grigio,$5.88 in any six,$35.28 per case of 6,$5.88 per bottle,,750mL,7.4 (2015),,Pinot Grigio,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
7,13.0% (2011),Leaping Lizard,Screw Cap,Australia,2011*,Margaret River Semillon Sauvignon Blanc,$10.40 in any six,$124.80 per case of 12,$10.90 per bottle,,750mL,7.7 (2011),Western Australia,White Blend,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
8,13.0% (2010),Kirrihill,Screw Cap,Australia,2010*,Slate Creek Vineyard Riesling,$12.88 in any six,$77.28 per case of 6,$12.88 per bottle,Clare Valley,750mL,7.7 (2010),South Australia,Riesling,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 33 of 46 Riesling from Clare Valley,,,,
9,13%,Woodvale,Screw Cap,Australia,2016,Pinot Gris 2016,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,Clare Valley,750mL,7.7,South Australia,Pinot Gris,,,,,,,,
10,,Brown Brothers,Screw Cap,Australia,,White Wine Discovery Pack,$17.90 per pack,,,,375mL,,,,Dry,,,,,,,
11,11.7,Springton Hills Wine,Screw Cap,Australia,2016,Adelaide Hills Sauvignon Blanc 2016,$20.00 per bottle,$240.00 per case of 12,Dry White,Eden Valley,750mL,6.9,FRE,Sauvignon Blanc,Dry,,,,,,,
12,12.8,Springton Hills Wine,Screw Cap,Australia,2016,Eden Valley Unwooded Chardonnay 2016,$20.00 per bottle,$240.00 per case of 12,Dry White,Eden Valley,750mL,7.7,FRE,Chardonnay,Dry,,,,,,,
13,12.5,Basedow,Screw Cap,Australia,Screw Cap,Village White 2015,$13.50 per bottle,$162.00 per case of 12,Dry White,Barossa,750mL,7.4,South Australia,Semillon Frontiqnac,Dry,,,,,,,
14,13%,Elysian Springs,Screw Cap,Australia,2017,Adelaide Hills Sauvignon Blanc 2017,$24.99 per bottle,$149.94 per case of 6,,Adelaide Hills,750mL,7.4,South Australia,Sauvignon Blanc,Semi Dry,,,,Medium Bodied,,,
