,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Langtons Classified,Price Option 4,Wine Body,Vegan Friendly,Price Option 5,Organic
0,13%,Yering Station,Screw Cap,Australia,2015*,Chardonnay,$32.29 in any six,$193.74 per case of 6,$33.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.7,Victoria,Chardonnay,Dry,,,,,,
1,13.0% (2016),Wow What A,Screw Cap,Australia,2016*,Sauvignon Blanc,$6.00 in any six,$36.00 per case of 6,$6.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7 (2016),,Sauvignon Blanc,Dry,,,,,,
2,10.00%,De Bortoli,Screw Cap,Australia,,Noble One Botrytis Semillon 2008 375mL,$38.00 in any six,$456.00 per case of 12,$39.99 per bottle,,Riverina,375mL,3,New South Wales,Semillon,Sweet,Outstanding,,,,,
3,9.50%,Sunnyvale,Cask Closure,Australia,Non Vintage,Medium White Cask 4L,$13.99 each,$26.60 per case of 2,,,,4L,30,,White Blend,Dry,,,,,,
4,13\t,Five Friends,Screw Cap,Australia,,Semillon Sauvignon Blanc 2017,$12.00 per bottle,$69.00 per case of 6,,,"Central Ranges, NSW",750mL,7.7,,Semillon Sauvignon B,,,,,,,
5,12.5%,Coldstone,Screw Cap,Australia,2017,Pinot Grigio,$8.00 in any six,$48.00 per case of 6,$8.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.4,,Pinot Grigio,Dry,,,,,,
6,13.2%,Printhie,,Australia,2018*,Mountain Range Pinot Gris,$18.05 in any six,$217.20 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Orange,750mL,7.8,New South Wales,Pinot Gris,Dry,,,,,,
7,12%,O'Leary Walker,Screw Cap,Australia,2017*,Watervale Riesling,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,7.1,South Australia,Riesling,Dry,,Ranked 35 of 70 Riesling from Clare Valley,,,,
8,13.0% (2014),Scorpo,Cork,Australia,2014*,Aubaine Chardonnay,$28.49 in any six,$170.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,7.7 (2014),Victoria,Chardonnay,Dry,,,,,,
9,13.0,St Leonards,Screw Cap,Australia,2015,Pinot Gris,$28.00 per bottle,$168.00 per case of 6,Dry White,,Rutherglen,750mL,7.8,Victoria,Pinot Gris,Pinot Gris,,,Light Bodied,,,
10,12.0% (2015),Harewood Estate,Screw Cap,Australia,2015*,Mount Barker Riesling,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Great Southern,750mL,7.1  (2015),Western Australia,Riesling,Dry,,Ranked 11 of 24 Riesling from Great Southern,,,,
11,10.5%,De Bortoli,Screw Cap,Australia,2016*,Deen Vat 5 Botrytis Semillon 375mL,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"Awards: 3 Trophies - Royal Queensland Wine Show 2013, London International Wine Competition 2013, Decanter World Wine Awards 2013. 3 Gold - Royal Queensland Wine Show 2013, London International Wine Competition 2013, Decanter World Wine Awards 2013",Riverina,375mL,3.1,New South Wales,Semillon,Sweet,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
12,6,Baily & Baily,Cork,Australia,2016*,Heaven's Gate Moscato,$6.95 in any six,$41.70 per case of 6,$6.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,3.6,,Moscato,Semi Sweet,,,,,,
13,12%,Madfish,Screw Cap,Australia,2018*,Gold Turtle Riesling 750mL,$13.90 in any six,$83.40 per case of 6,$14.60 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.1,Western Australia,Riesling,Dry,,,,,,
14,13.0% (2013),Capel Vale,Screw Cap,Australia,2013*,Semillon Sauvignon Blanc,$21.85 in any six,$131.10 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Pemberton,750mL,7.7 (2013),Western Australia,Semillon Sauvignon Blanc,Dry,,,,,,
15,13.2%,Picnic Howard Vineyard,Screw Cap,Australia,,Adelaide Hills Sauvignon Blanc 2018,$18.00 per bottle,$108.00 per case of 6,,,Adelaide Hills,750mL,7.5,South Australia,,Dry,,,Light Bodied,,,
16,13%,Mitchell,Screw Cap,Australia,2017*,Riesling,$18.99 in any six,$227.88 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,7.7,South Australia,Riesling,Dry,,Ranked 44 of 70 Riesling from Clare Valley,,,,
17,13.5% (2013),De Iuliis,Screw Cap,Australia,2018,Verdelho,$18.99 in any six,$227.88 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,750mL,8.0 (2013),New South Wales,Verdelho,Dry,,,,,,
18,13.5%,Voyager Estate,Screw Cap,Australia,2016,Girt By Sea Chardonnay,$26.60 in any six,$159.60 per case of 6,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,700mL,8,Western Australia,Chardonnay,,,Ranked 61 of 84 Chardonnay from Margaret River,,,,
19,14%,Delatite,Screw Cap,Australia,2017*,Dead Mans Hill Gewurztraminer,$21.90 in any six,$262.80 per case of 12,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Upper Goulburn,750mL,8.3,Victoria,Gewürztraminer,Dry,,,,true,,
20,13.0% (2016),Mac Forbes,Screw Cap,Australia,2016*,Spring Riesling,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.7 (2016),Victoria,Riesling,Dry,,Ranked 158 of 267 Riesling from Australia,,,,
21,12.5%,Drop Zone,Screw Cap,Australia,2017,Pinot Grigio,$9.00 in any six,$54.00 per case of 6,$9.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.4,,Pinot Grigio,,,,,,,
22,13.0% (2015),Scotchmans Hill,Screw Cap,Australia,2015*,Sauvignon Blanc,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Geelong,750mL,7.7 (2015),Victoria,Sauvignon Blanc,Dry,,Ranked 14 of 17 Sauvignon Blanc from Port Phillip,,,,
23,12%,Bimbadgen Estate,Screw Cap,Australia,2014,Semillon 2014,Delivery Offer$13.90 per bottle,$15.20 in any six,$182.40 per case of 12,$15.99 per bottle,Hunter Valley,750mL,7.1,New South Wales,Semillon,,,,,,,
24,11.0%,Houghton,Screw Cap,Australia,2017*,Sweet Classic,$7.90 in any six,$47.40 per case of 6,$8.30 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,6,Western Australia,Verdelho,Sweet,,,,,,
25,11.0%,Adelina,Screw Cap,Australia,2018*,Polish Hill Riesling,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,6.5,South Australia,Riesling,Dry,,,,,,
26,12.5% (2016),Taylors,Screw Cap,Australia,2016*,Promised Land Riesling,$9.00 in any six,$54.00 per case of 6,$9.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,7.4 (2016),South Australia,Riesling,Dry,,,,,,
