,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Price Option 4,Region,Price Option 5,Vegan Friendly,Price Option 6
0,13.9%,Jacob's Creek,Screw Cap,Australia,2017*,Classic Shiraz,$5.95 in any six,$35.70 per case of 6,$5.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.2,South Australia,Shiraz,Full Bodied,Dry,,,,,,
1,14.50%,Penfolds,Screw Cap,Australia,,St Henri Shiraz 2014,$104.50 in any six,$627.00 per case of 6,$109.99 per bottle,Ranked 14 of 117 Shiraz from Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Outstanding,,,,,
2,14.50%,Penfolds,Cork,Australia,2007,Grange Bin 95 Shiraz 2007,$750.00 per bottle,Ranked 16 of 241 Shiraz from South Australia,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,,,,
3,14%,George Wyndham,Screw Cap,Australia,2017*,Bin 444 Cabernet Sauvignon,$7.55 in any six,$45.30 per case of 6,$7.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,New South Wales,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
4,13.0%,McGuigan,Screw Cap,Australia,2017*,Black Label Cabernet Sauvignon,$6.95 in any six,$41.70 per case of 6,$6.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
5,14.5%,Red Hill Estate,Screw Cap,Australia,2017*,Cool Climate Pinot Noir,$16.15 in any six,$96.90 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,Victoria,Pinot Noir,Light Bodied,Dry,,,,,,
6,14.5%,Taylors,Screw Cap,Australia,2016,Jaraman Cabernet Sauvignon,$24.69 in any six,$148.14 per case of 6,$25.99 per bottle,Awards: Trophy Winner: Best Cabernet at AWC Vienna International Wine Challenge,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
7,14.50%,Penfolds,Cork,Australia,,Grange 2012,$780.00 per bottle,Awards: Best Syrah of the World - Best Wine of the World Competition 2018,Ranked 3 of 448 Shiraz from South Australia,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,,,,
8,14.5%,Cow Bombie,Screw Cap,Australia,2017*,Cabernet Merlot,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,Margaret River,,,
9,14.5% (2016),Pepperjack,Screw Cap,Australia,2016*,Certified Shiraz Cabernet,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"Awards: Great Australian Red 2017 """"Trophy for best red $25 - $60; Trophy for Best Shiraz dominant blend across all pricepoints; Trophy for Best Wine of Show""""; Bronze medal at Melbourne Wine Show. The Great Australian Red 2018, Trophy for ‘Best Wine of Show’.",750mL,8.6,South Australia,Shiraz Cabernet,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur",Barossa,,,
