,Name,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,Varietal,Wine Style,Price Option 4,Region,State,Vegan Friendly,Price Option 5,Langtons Classified,Organic
0,Unknown,,,,,,,,,,,,,,,,,,,,
1,Sauvignon Blanc,11.5%,Yellow Tail,Screw Cap,Australia,2017*,$7.95 in any six,$44.70 per case of 6,$7.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.8,Sauvignon Blanc,Dry,,,,,,,
2,Sauvignon Blanc,12.5%,Wicks Estate,Screw Cap,Australia,2018,$14.90 in any six,$89.40 per case of 6,$15.70 per bottle,Awards: Gold Medal - Cowra Wine Show 2015; Top Gold class 4 - The National Wine Show of Australia 2015,750mL,7.4,Sauvignon Blanc,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,South Australia,,,,
3,Sauvignon Blanc,13.5%,Devil's Corner,Screw Cap,Australia,2017*,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Sauvignon Blanc,Dry,,East Coast Tasmania,Tasmania,,,,
4,Semillon Sauvignon Blanc,12%,Gossips,Screw Cap,Australia,2018*,$4.30 in any six,$25.80 per case of 6,$4.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1,Semillon Sauvignon Blanc,Dry,,,,,,,
5,Premium Colombard Chardonnay Cask 4L,12%,De Bortoli,Cask Closure,Australia,Non Vintage*,$27.90 per case of 2,$18.95 each,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,4L,38.0,Colombard Chardonnay,Dry,,,New South Wales,,,,
6,Pinot Grigio,12.1%,Pizzini,Screw Cap,Australia,2017*,$18.99 in any six,$227.88 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.2,Pinot Grigio,Dry,,King Valley,Victoria,,,,
7,Hanlin Hill Riesling 2013,13%,Petaluma,Screw Cap,Australia,2013,$31.40 in any six,$188.40 per case of 6,$32.99 per bottle,,750mL,7.7,Riesling,Dry,,Clare Valley,South Australia,,,,
8,Fresh Dry White Cask 4L,10.50%,Stanley,Cask Closure,Australia,Non Vintage,$12.99 each,$47.80 per case of 4,,,4L,33,White Blend,Dry,,,New South Wales,,,,
9,Rumours Moscato,5.0% (2016),Warburn,Screw Cap,Australia,2016*,$5.25 in any six,$31.50 per case of 6,$5.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,3.0 (2016),Moscato,Semi Sweet,,,,,,,
10,On The Grapevine Sauvignon Blanc,12%,McWilliam's,Screw Cap,Australia,2018*,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,7.1,Sauvignon Blanc,Dry,,,New South Wales,,,,
11,Reserve Bin 17A Chardonnay 2017,12.5%,Penfolds,Screw Cap,Australia,,$88.90 in any six,$533.40 per case of 6,$93.90 per bottle,,750mL,7.4,Chardonnay,,,Adelaide Hills,South Australia,,,,
12,Estate Riesling,12.5%,Taylors,Screw Cap,Australia,2018*,$13.25 in any six,$79.50 per case of 6,$13.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Riesling,Dry,,Clare Valley,South Australia,,,,
13,Chardonnay,12.5%,Punt Road,Screw Cap,Australia,2017*,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Chardonnay,Dry,,Yarra Valley,Victoria,,,,
14,Dry White Cask 4L,9.5%,Golden Oak,Cask Closure,Australia,Non Vintage*,$9.99 each,$19.00 per case of 2,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,4L,30.0,White Blend,Dry,,,,,,,
15,Estate Sauvignon Blanc,13%,Taylors,Screw Cap,Australia,2018*,$16.15 in any six,$96.90 per case of 6,$15.70 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Sauvignon Blanc,Dry,,Adelaide Hills,South Australia,,,,
16,Chardonnay 187mL,12.8%,Jacob's Creek,Screw Cap,Australia,2017*,$2.39 in any six,$57.36 per case of 24,$2.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",187mL,1.9,Chardonnay,Dry,,,South Australia,,,,
17,Unknown,,,,,,,,,,,,,,,,,,,,
18,Chimney Brush Chenin Blanc,13%,Amberley,Screw Cap,Australia,2017*,$9.45 in any six,$56.70 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Chenin Blanc,Dry,,,Western Australia,,,,
19,Dry White Cask 10L,12.00%,Brown Brothers,Cask Closure,Australia,Non Vintage,$51.99 each,,,,10L,94.7,White Blend,Dry,,,Victoria,,,,
20,Chardonnay,13.5%,Scotchmans Hill,Screw Cap,Australia,2017*,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Chardonnay,Dry,,Geelong,Victoria,,,,
21,Cricket Pitch Sauvignon Blanc Semillon,12%,Brokenwood,Screw Cap,Australia,2017*,$15.90 in any six,$95.40 per case of 6,$16.70 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1,Sauvignon Blanc Semillon,Dry,Ranked 5 of 28 Sauvignon Blanc from Australia,,New South Wales,,,,
22,Stamp of Australia Sauvignon Blanc Semillon 1L,12.0%,Hardys,Screw Cap,Australia,2015*,$5.90 in any six,$35.40 per case of 6,$6.20 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",1L,9.5,Sauvignon Blanc Semillon,Dry,,,South Australia,,,,
23,Chardonnay,12.5%,Gossips,Screw Cap,Australia,2018*,$4.30 in any six,$25.80 per case of 6,$4.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Chardonnay,Dry,,,,,,,
24,Pinot Gris,13%,Nepenthe,Screw Cap,Australia,2017*,$16.15 in any six,$96.90 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Pinot Gris,Dry,,Adelaide Hills,South Australia,,,,
25,Chardonnay,12.5%,Devil's Lair,Screw Cap,Australia,2016*,$39.99 per bottle,$228.00 per case of 6,$38.00 in any six,"Awards: 2 Gold Medals - Royal Melbourne Wine Awards 2015, Royal Adelaide Wine Show 2015",750mL,7.4,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,Western Australia,,,,
26,Billy's Shadow Semillon Sauvignon Blanc,12%,Jamiesons Run,Screw Cap,Australia,2017*,$6.65 in any six,$39.90 per case of 6,$6.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1,Semillon Sauvignon Blanc,Dry,,,,,,,
27,Red Label Semillon Sauvignon Blanc,11.5%,Wolf Blass,Screw Cap,Australia,2017*,$6.95 in any six,$35.70 per case of 6,$6.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.8,Semillon Sauvignon Blanc,Dry,,,South Australia,,,,
28,Eaglehawk Riesling,11.5%,Wolf Blass,Screw Cap,Australia,2018*,$4.95 in any six,$29.70 per case of 6,$4.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.8,Riesling,Dry,,,South Australia,,,,
29,Marsanne 2012,12.50%,Tahbilk,Screw Cap,Australia,,$15.90 in any six,$95.40 per case of 6,$16.70 per bottle,"Awards: The Programmed Maintenance Services Trophy Best Other White Varietal - Adelaide Wine Show 2013, Best Alternative White Wine - WineState Wine Of The Year Awards 2013, The RAS of WA Trophy Best Dry White Varietal - Perth Wine Show 2016, The Rutherglen Wine",750mL,7.4,Marsanne,Dry,,Nagambie Lakes,Victoria,,,,
30,Unknown,,,,,,,,,,,,,,,,,,,,
31,Sauvignon Blanc Semillon,12%,Madfish,Screw Cap,Australia,2017*,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1,Sauvignon Blanc Semillon,Dry,,,Western Australia,,,,
32,Early Harvest Crisp Chardonnay,8.5%,Lindeman's,Screw Cap,Australia,2018*,$9.40 in any six,$56.40 per case of 6,$9.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,5.0,Chardonnay,Dry,,,,,,,
33,Chardonnay,13%,Sticks,Screw Cap,Australia,2017*,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Chardonnay,Dry,,Yarra Valley,Victoria,,,,
34,Y Series Riesling,11.5%,Yalumba,Screw Cap,Australia,2018*,$9.90 in any six,$59.40 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.8,Riesling,Dry,Ranked 41 of 69 Riesling from South Australia,,South Australia,true,,,
35,Verdelho,12.9%,Tulloch,Screw Cap,Australia,2018,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.6,Verdelho,Dry,,Hunter Valley,New South Wales,,,,
36,Jaraman Chardonnay,13%,Taylors,Screw Cap,Australia,2017*,$19.90 in any six,$119.40 per case of 6,$20.90 per bottle,"Awards: 2 Double Gold Medals - Michelangelo International Wine Awards 2015, Mundus Vini International Wine Awards 2015. 3 Gold Medals - Vinalies Internationales Paris 2015,  World Wine Championships Award 2015, AWC International Wine Challenge 2015.",750mL,7.7,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,South Australia,,,,
