,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 5,Vegan Friendly,Wine Body,Langtons Classified
0,11.6%,Eden Hall,Screw Cap,Australia,2018*,Springton Riesling,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,"Awards: Gold Medal 2018 Royal Adelaide Wine Show
Gold Medal 2018 Canberra International Wine Challenge","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,750mL,6.9,South Australia,Riesling,Dry,,,,
1,12%,Montara,Screw Cap,Australia,,Grampains Riesling 2016,$23.99 per bottle,$287.88 per case of 12,"Awards: 95* James Haliiday 
Gold Melbourne International Wine Competition",,,Grampians,750ml,7.1,Victoria,Riesling,Semi Dry,,,,
2,12.5%,Epic Negociants,Screw Cap,Australia,2017,Gneissic Rock Margaret River Sauvignon Blanc Semillon 2017,Delivery Offer$8.90 per bottle,$18.99 in any six,$228.00 per case of 12,$19.99 per bottle,,Margaret River,750mL,7.4,Western Australia,,,,,,
3,10.5%,St Hugo,Screw Cap,Australia,2017*,Riesling 750mL,$30.40 in any six,$182.40 per case of 6,$31.99 per bottle,"Awards: TROPHY Barossa Wine Show 2017 L Hugo Gramp Memorial Trophy Best Riesling, TROPHY Barossa Show 2016 The Hahn CorporaWine tion Trophy  Most Outstanding Barossa White Wine, GOLD Royal Melbourne Wine Awards 2016, GOLD Barossa Wine Show 2017, GOLD National Win","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,750mL,6.2,South Australia,Riesling,,Ranked 9 of 27 Riesling from Eden Valley,,,
4,12.5%,Nova Vita,Screw Cap,Australia,,Woodridge Vineyard Sauvignon Blanc 2018,$16.99 per bottle,$203.88 per case of 12,,,,Adelaide Hills,750mL,7.4,South Australia,Sauvignon Blanc,Dry,,true,Medium Bodied,
5,13.50%,Secret Selection,Screw Cap,Australia,2017,Western Australian Chardonnay 2017,Online Offer$12.00 per bottle,$24.99 in any six,$299.88 per case of 12,$26.00 per bottle,,Great Southern,750mL,8,Western Australia,,Dry,,,,
6,12.5%,Epic Negociants,Screw Cap,Australia,2017,Gneissic Rock Margaret River Sauvignon Blanc Semillon 2017,Delivery Offer$8.90 per bottle,$18.99 in any six,$228.00 per case of 12,$19.99 per bottle,,Margaret River,750mL,7.4,Western Australia,,,,,,
7,13.5%,The Inventor,Screw Cap,Australia,2018,Padthaway Chardonnay 750mL,$24.50 per bottle,$147.00 per case of 6,,,,Padthaway,750mL,8,South Australia,Chardonnay,,,,,
8,13.5%,Tuerong Park,Screw Cap,Australia,2017*,Mornington Peninsula Chardonnay 2017,$42.80 in any six,$513.60 per case of 12,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Mornington Peninsula,750mL,8.0,Victoria,Chardonnay,Dry,,,,
9,13.8%,Toolangi,,Australia,2015*,Block F Reserve Chardonnay 2015,$76.00 in any six,$456.00 per case of 6,$79.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,8.2,Victoria,Chardonnay,,,,,
10,12.5%,Jim Barry,Screw Cap,Australia,2018*,Watervale Riesling,$15.19 in any six,$91.14 per case of 6,$15.99 per bottle,"Awards: Best Riesling Of Show Trophy at The Royal Queensland Wine Show
Gold Medal at The Royal Queensland Wine Show","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,7.4,South Australia,Riesling,Dry,Ranked 20 of 43 Riesling from Clare Valley,,,
11,13.5%,Allinda,Screw Cap,Australia,2016,Yarra Valley Chardonnay 2016,$27.60 in any six,$165.60 per case of 6,$29.99 per bottle,,,Yarra Valley,750mL,8,Victoria,Chardonnay,,,,,
12,13%,Captain Hayes,Screw Cap,Australia,,Eden Valley Riesling 2018,$21.95 per bottle,$131.70 per case of 6,,,,Eden Valley,750mL,7.6,South Australia,Riesling,,,,Light Bodied,
13,12%,Shaw & Smith,Screw Cap,Australia,2018*,Sauvignon Blanc,$27.50 in any six,$165.00 per case of 6,$28.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Adelaide Hills,750mL,7.1,South Australia,Sauvignon Blanc,Dry,,,,
14,13%,Epic Negociants,,Australia,2018,Gneissic Rock Margaret River Chardonnay 2018,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,,,Margaret River,750mL,7,Western Australia,Chardonnay,,,,,
15,13.5%,Allinda,Screw Cap,Australia,2016,Yarra Valley Chardonnay 2016,$27.60 in any six,$165.60 per case of 6,$29.99 per bottle,,,Yarra Valley,750mL,8,Victoria,Chardonnay,,,,,
16,13.5%,Petaluma,Screw Cap,Australia,2017*,Chardonnay,$37.95 in any six,$227.70 per case of 6,$37.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Adelaide Hills,750mL,8.0,South Australia,Chardonnay,Dry,,,,
