,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Size,Standard Drinks,Varietal,Price Option 3,Region,State,Wine Style,Price Option 4,Wine Body,Organic,Price Option 5,Vegan Friendly,Langtons Classified,Price Option 6
0,8.5,Royal Cross,Screw Cap,Australia,2017,Blue Swan,Delivery Offer$58.80 per case of 6,$14.84 per bottle,$89.00 per case of 6,750mL,5,Blue Wine,,,,,,,,,,,
1,13%,Ninth Island,Screw Cap,Australia,2017*,Chardonnay,$18.99 per bottle,$108.60 per case of 6,$18.10 in any six,750mL,7.7,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Northern Tasmania,Tasmania,Dry,,,,,,,
2,12.5%,Bethany,Screw Cap,Australia,2016*,Chardonnay,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,750mL,7.4,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,South Australia,Dry,,,,,,,
3,13.0,Barokes,Can Closure,Australia,,Bubbly Chardonnay Semillon Bin 242,$3.16 per bottle,$38.00 per case of 12,,250ml,2.6,Chardonnay Semillon,,,,Chardonnay Semillon,,,,,,,
4,12.5%,Coriole,Screw Cap,Australia,2017*,Chenin Blanc,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,750mL,7.4,Chenin Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,South Australia,Dry,,,,,,,
5,13.5%,Franklin Tate Estates,Screw Cap,Australia,2017*,Alexanders Vineyard Chardonnay,$18.90 in any six,$113.40 per case of 6,$19.90 per bottle,750mL,8.0,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,Western Australia,Dry,,,,,,,
6,14.0%,Ten Minutes by Tractor,Screw Cap,Australia,2016*,Estate Chardonnay,$42.80 in any six,$256.80 per case of 6,$44.99 per bottle,750mL,8.3,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,Victoria,Dry,Ranked 28 of 47 Chardonnay from Mornington Peninsula,,,,,,
7,12.5%,Penfolds,Screw Cap,Australia,2012,Bin 311 Chardonnay 2012,$42.80 in any six,$256.80 per case of 6,$44.99 per bottle,750mL,7.4,Chardonnay,Awards: Silver Medal - Decanter World Wine Awards 2013; Commended - International Wine Challenge 2013,Tumbarumba,South Australia,Dry,Ranked 11 of 71 Chardonnay from New South Wales,,,,,,
8,14%,Brian Croser,Screw Cap,Australia,2016*,BC Chardonnay,$28.49 in any six,$170.94 per case of 6,$29.99 per bottle,750mL,8.3,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,South Australia,Dry,,,,,,,
9,13.1% (2014),Cockfighter's Ghost,Screw Cap,Australia,2014*,Chardonnay,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.8 (2014),Chardonnay,,Hunter Valley,New South Wales,Dry,,,,,,,
10,12.5%,Seppelt,Screw Cap,Australia,2016*,Jaluka Chardonnay,$23.75 in any six,$142.50 per case of 6,$24.99 per bottle,750mL,7.4,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Henty,Victoria,Dry,,,,,,,
11,10.2%,Frogmore Creek,Screw Cap,Australia,2017*,FGR Riesling,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,750mL,6.0,Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Northern Tasmania,Tasmania,Sweet,Ranked 17 of 56 Riesling from Tasmania,,,,,,
12,13%,Dominique Portet,Screw Cap,Australia,2017*,Sauvignon Blanc,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,750mL,7.7,Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,Victoria,Dry,,,,,,,
13,12.3%,Taylors Wines,Screw Cap,Australia,,Reserve Parcel Riesling,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,750mL,7.1,Riesling,,Clare Valley,South Australia,,,,,,,,
14,13,Sidewood,Screw Cap,Australia,2016*,Pinot Gris,$18.99 in any six,$112.75 per case of 6,$19.99 per bottle,750mL,7.7,Pinot Gris,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide,South Australia,,,,,,,,
15,13%,Ashbrook Estate,Screw Cap,Australia,2017*,Semillon,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,750mL,7.7,Semillon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,Western Australia,Dry,Ranked 41 of 48 Sémillon from Australia,,,,,,
16,11.50%,Brown Brothers,Cask Closure,Australia,Non Vintage,Milawa Fruity White Cask 10L,$52.99 each,,,10L,91,White Blend,,,Victoria,Sweet,,,,,,,
17,12%,Catching Thieves,Screw Cap,Australia,2017*,Semillon Sauvignon Blanc,$10.40 in any six,$62.40 per case of 6,$10.90 per bottle,750mL,7.1,Semillon Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Dry,,,,,,,
18,13.3%,d'Arenberg,Screw Cap,Australia,2016*,The Hermit Crab Viognier Marsanne,$15.20 in any six,$182.40 per case of 12,$15.99 per bottle,750mL,7.9,Viognier Marsanne,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,South Australia,Dry,,,,,,,
19,13.0% (2015),Kooyong,Screw Cap,Australia,2015*,Chardonnay,$36.09 in any six,$216.54 per case of 6,$37.99 per bottle,750mL,7.7 (2015),Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,Victoria,Dry,Ranked 17 of 44 Chardonnay from Mornington Peninsula,,,,,,
20,13%,Audrey Wilkinson,Screw Cap,Australia,2017*,Verdelho,$16.90 in any six,$101.40 per case of 6,$18.99 per bottle,750mL,7.7,Verdelho,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,New South Wales,Dry,,,,,,,
21,12.5,Monterra,Screw Cap,Australia,2018,Sauvignon Blanc 2018,$23.99 per bottle,$143.94 per case of 6,Awards: Gold Medal - China Wine and Spirits Awards 2018,750mL,7.5,Sauvignon Blanc,,Adelaide Hills,South Australia,Sauvignon Blanc,,Light Bodied,,,,,
22,13.2% (2012),Cherubino,Screw Cap,Australia,2012*,Pemberton Sauvignon Blanc,$31.95 in any six,$191.70 per case of 6,$32.99 per bottle,750mL,7.8 (2012),Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Pemberton,Western Australia,Dry,Ranked 9 of 33 Sauvignon Blanc from South West Australia,,,,,,
23,11.5% (2015),Cleanskin,Screw Cap,Australia,2015*,Chardonnay,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,750mL,6.8 (2015),Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Dry,,,,,,,
24,12%,De Bortoli,,Australia,2014*,GS Chardonnay,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,750mL,7.1,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,Victoria,Dry,,,,,,,
