,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Price Option 5,Vegan Friendly
0,14.5% (2012),Browns Of Padthaway,Screw Cap,Australia,2012*,Myra Family Reserve Cabernet Sauvignon,$16.09 in any six,$190.65 per case of 12,$16.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 58 of 70 Cabernet Sauvignon from Limestone Coast,Padthaway,750mL,8.6 (2012),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
1,14.5% (2009),McGuigan,Screw Cap,Australia,2009*,Bin 3000 Merlot,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,Limestone Coast,750mL,8.6 (2009),South Australia,Merlot,Medium Bodied,Dry,,,
2,14.5% (2012),Browns Of Padthaway,Screw Cap,Australia,2012*,Myra Family Reserve Cabernet Sauvignon,$16.09 in any six,$190.65 per case of 12,$16.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 58 of 70 Cabernet Sauvignon from Limestone Coast,Padthaway,750mL,8.6 (2012),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
3,14.50%,Penfolds,Cork,Australia,2004,St Henri Shiraz 2004 Magnum 1.5L,$323.00 in any six,"$1,938.00 per case of 6",$340.00 per bottle,,,,1.5L,17,South Australia,Shiraz,Full Bodied,Dry,Outstanding,,
4,15.50%,Wild Duck Creek,Cork,Australia,,Spring Flat Shiraz 2008,$59.99 per bottle,,,,,Heathcote,750mL,9.2,Victoria,Shiraz,Full Bodied,Dry,,,
5,13.7% (2011),Morris,Screw Cap,Australia,2011*,Cabernet Sauvignon,$10.39 in any six,$62.34 per case of 6,$10.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Rutherglen,750mL,8.1 (2011),Victoria,Cabernet Sauvignon,Full Bodied,Dry,,,
6,14.5% (2013),Pfeiffer,Screw Cap,Australia,2013*,Cabernet Sauvignon,$24.69 in any six,$296.28 per case of 12,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Rutherglen,750mL,8.6 (2013),Victoria,Cabernet Sauvignon,Full Bodied,Dry,,,
7,14.5% (2010),Heartland,Screw Cap,Australia,2010,Dolcetto & Lagrein,$20.89 in any six,$124.05 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Langhorne Creek,750mL,8.6 (2010),South Australia,Red Blend,,Dry,,,
8,13.50%,JJ Hahn,Screw Cap,Australia,2013*,Reginal Shiraz Cabernet,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8,South Australia,Shiraz Cabernet,Full Bodied,Dry,,,
9,15.00%,Jim Barry,Cork,Australia,,The Armagh Shiraz 2010,$285.00 in any six,"$1,710.00 per case of 6",$299.99 per bottle,Ranked 2 of 33 Shiraz from Clare Valley,,Clare Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,
10,13.50%,Some Young Punks,Screw Cap,Australia,2012*,Double Love Trouble,$21.90 in any six,$262.80 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Adelaide Hills,750mL,8,South Australia,Nebbiolo,Full Bodied,Dry,,,
11,12.50%,Punt Road,Screw Cap,Australia,2013*,Chemin Shiraz,$34.20 in any six,$205.20 per case of 6,$35.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 11 of 20 Shiraz from Yarra Valley,Yarra Valley,750mL,7.4,Victoria,Shiraz,Full Bodied,Dry,,,
12,14.00%,Pike and Joyce,Screw Cap,Australia,2013*,Pinot Noir,$26.60 in any six,$319.20 per case of 12,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 7 of 25 Pinot Noir from Adelaide Hills,Adelaide Hills,750mL,8.3,South Australia,Pinot Noir,Light Bodied,Dry,,,
13,12.50%,Punt Road,Screw Cap,Australia,2013*,Chemin Shiraz,$34.20 in any six,$205.20 per case of 6,$35.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 11 of 20 Shiraz from Yarra Valley,Yarra Valley,750mL,7.4,Victoria,Shiraz,Full Bodied,Dry,,,
14,14.50%,Clarendon Hills,Cork,Australia,,Syrah “Onkaparinga Vineyard” 2009,$118.80 in any six,$712.80 per case of 6,$124.99 per bottle,,,McLaren Vale,750mL,8.6,South Australia,Syrah,,Dry,,,
15,14.00%,Clarendon Hills,Cork,Australia,,Brookman Vineyard Merlot 2002,$71.30 in any six,$427.80 per case of 6,$74.99 per bottle,,,McLaren Vale,750mL,8.3,South Australia,Merlot,Medium Bodied,Dry,,,
16,14.50%,Clarendon Hills,Cork,Australia,,Syrah “Onkaparinga Vineyard” 2009,$118.80 in any six,$712.80 per case of 6,$124.99 per bottle,,,McLaren Vale,750mL,8.6,South Australia,Syrah,,Dry,,,
17,13.50%,Greenstone,Screw Cap,Australia,2013*,Cambrian Ridge Shiraz,$24.70 in any six,$296.40 per case of 12,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Heathcote,750mL,8,Victoria,Shiraz,Full Bodied,Dry,,,
18,13.50%,De Bortoli Riorret,Cork,Australia,2012*,Ponderosa Pinot Noir,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 5 of 76 Pinot Noir from Yarra Valley,Yarra Valley,750mL,8,Victoria,Pinot Noir,Light Bodied,Dry,,,
19,14.0% (2001),Summerfield,Cork,Australia,2001,Reserve Cabernet Sauvignon 2001,$80.80 in any six,$969.60 per case of 12,$84.99 per bottle,,,Pyrenees,750mL,8.3 (2001),Victoria,Cabernet Sauvignon,Full Bodied,Dry,,,
20,13.50%,Orlando,Cork,Australia,1996,St Hugo Cabernet Sauvignon 1996,$64.99 per bottle,,,,,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Excellent,,
21,14.50%,Barossa Valley Estate,Cork,Australia,1995,E & E Black Pepper Shiraz 1995,$150.99 per bottle,,,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Outstanding,,
22,14.00%,Barossa Valley Estate,Cork,Australia,2001,E & E Black Pepper Shiraz 2001,$139.99 per bottle,,,,,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Outstanding,,
23,13.50%,Giaconda,Cork,Australia,2004,Warner Shiraz 2004,$129.99 per bottle,,,,,Beechworth,750mL,8,Victoria,Shiraz,Full Bodied,Dry,Excellent,,
24,14.10%,Henschke,Cork,Australia,1996,Cyril Henschke Cabernet Sauvignon 1996,$257.99 per bottle,,,,,Eden Valley,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Outstanding,,
25,13.50%,Henschke,Cork,Australia,1991,Hill of Grace Shiraz 1991,$850.00 per bottle,Ranked 16 of 19 Shiraz from Australia,,,,Eden Valley,750mL,8,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,
26,14.00%,Henschke,Cork,Australia,1995,Mount Edelstone Shiraz 1995,$219.99 per bottle,,,,,Eden Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,
27,14.40%,Henschke,Cork,Australia,1997,Mount Edelstone Shiraz 1997,,,,,,Eden Valley,750mL,8.5,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,
28,14.5%,Clarendon Hills,,Australia,2013,Hickinbotham Cabernet Sauvignon 2013,$103.60 in any six,$621.60 per case of 6,$108.99 per bottle,,,,750mL,8.6,South Australia,Cabernet Sauvignon,,,,,
29,15.0% (2008),Old Plains,Cork,Australia,2008*,Terreneo Grenache,$27.55 in any six,$330.60 per case of 12,$28.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 2 of 26 Grenache from South Australia,Adelaide,750mL,8.9 (2008),South Australia,Grenache,Medium Bodied,Dry,,,
30,14.50%,Richmond Grove,,Australia,,Limited Release Cabernet Sauvignon 2007,$20.89 in any six,$125.34 per case of 6,$21.99 per bottle,Ranked 17 of 22 Cabernet Sauvignon from Coonawarra,,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
31,13.0% (2011),De Bortoli,Screw Cap,Australia,2011*,Reserve Pinot Noir,$44.65 in any six,$267.90 per case of 6,$48.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,7.7% (2011),Victoria,Pinot Noir,Light Bodied,Dry,,,
32,14.0% (2008),Wynns,Screw Cap,Australia,2008*,Davis Cabernet Sauvignon,$37.99 in any six,$225.55 per case of 6,$39.99 per bottle,Awards: Trophy - Royal Queensland Wine Show 2011. Gold - Royal Hobart Wine Show. Silver - Royal Queensland Wine Show 2011,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.3 (2008),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,Ranked 7 of 44 Cabernet Sauvignon from Coonawarra,
33,14.0% (2009),Heggies,Cork,Australia,2009*,Merlot,$22.80 in any six,$135.30 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Eden Valley,750mL,8.3 (2009),South Australia,Merlot,Medium Bodied,Dry,,,
34,13.3% (2010),Winburndale,Screw Cap,Australia,2010*,Lost & Found Shiraz Cabernet,$18.99 in any six,$227.88 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.9 (2010),New South Wales,Shiraz Cabernet,Full Bodied,Dry,,,
35,13.5% (2008),De Bortoli,Screw Cap,Australia,2008*,Shiraz Viognier,$26.60 in any six,$157.89 per case of 6,$15.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,8 (2008),Victoria,Shiraz Viognier,,Dry,,,
36,13.50%,Dalwhinnie,Cork,Australia,1995,Moonambel Shiraz 1995,$79.99 per bottle,Ranked 14 of 22 Shiraz from Australia,,,,Pyrenees,750mL,8,Victoria,Shiraz,Full Bodied,Dry,Excellent,,
37,13.70%,Kay Brothers Amery Vineyards,Cork,Australia,2000,Block 6 Shiraz 2000,$94.99 per bottle,,,,,McLaren Vale,750mL,8.1,South Australia,Shiraz,Full Bodied,Dry,Outstanding,,
38,14.70%,Kay Brothers Amery Vineyards,Cork,Australia,1999,Block 6 Shiraz 1999,$89.99 per bottle,,,,,McLaren Vale,750mL,8.7,South Australia,Shiraz,Full Bodied,Dry,Outstanding,,
39,14.00%,Jasper Hill,Cork,Australia,,Emily's Paddock Shiraz Cabernet Franc 1997,$139.99 per bottle,,,,,Heathcote,750mL,8.3,Victoria,Red Blend,,Dry,Outstanding,,
