,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 5,Organic,Langtons Classified,Vegan Friendly
0,13.5%,Clonakilla,Screw Cap,Australia,2017*,O'Riada Shiraz,$37.99 in any six,$227.94 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 16 of 59 Shiraz from Australia,Canberra District,750mL,8.0,New South Wales,Shiraz,Full Bodied,Dry,,,,
1,14.2%,Reschke,Screw Cap,Australia,2009*,Bull Trader Cabernet Merlot,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,Awards: Gold - AWC Vienna International Wine Challenge 2012. Blue Gold - Sydney International Wine Competition 2012,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.4,South Australia,Cabernet Merlot,Medium Bodied,Dry,Ranked 1 of 18 Cabernet Sauvignon from Coonawarra,,,
2,14.5% (2014),Devil's Lair,Screw Cap,Australia,2014*,The Hidden Cave Cabernet Shiraz,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 20 of 34 Cabernet Sauvignon from Margaret River,Margaret River,750mL,8.6 (2014),Western Australia,Cabernet Shiraz,,Dry,,,,
3,14.5% (2017),Gemtree,Screw Cap,Australia,2017*,Uncut Shiraz,$18.99 per bottle,$108.60 per case of 6,$18.00 in any six,"Awards: 2 Gold - Mundus Vini Awards Europe 2014, World Wine Awards 2014","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6 (2017),South Australia,Shiraz,Full Bodied,Dry,,true,,
4,14.0% (2015),Bleasdale,Screw Cap,Australia,2015*,Second Innings Malbec,$17.09 in any six,$102.54 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 6 of 23 Malbec from Australia,Langhorne Creek,750mL,8.3 (2015),South Australia,Malbec,,Dry,,,,
5,13.7%,Oakridge,Screw Cap,Australia,2018*,Over The Shoulder Pinot Noir,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,8.1,Victoria,Pinot Noir,Light Bodied,Dry,,,,
6,13.90%,Giaconda,Cork,Australia,,McClay Road Nebbiolo 2012,$76.00 in any six,$456.00 per case of 6,$79.99 per bottle,,,Beechworth,750mL,8.3,Victoria,Nebbiolo,Full Bodied,Dry,,,,
7,13.8%,Mount Langi Ghiran,Screw Cap,Australia,2017*,Cliff Edge Shiraz,$27.99 per bottle,$159.60 per case of 6,$26.60 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 13 of 41 Shiraz from Victoria,Grampians,750mL,8.2,Victoria,Shiraz,Full Bodied,Dry,,,,
8,13.5% (2015),Watershed,Screw Cap,Australia,2015*,Shades Rosé,$16.20 in any six,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Margaret River,750mL,8 (2015),Western Australia,Shiraz,Light Bodied,Dry,,,,
9,15%,Torbreck,Cork,Australia,2015*,The Factor Shiraz,$118.80 in any six,$712.80 per case of 6,$124.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 25 of 135 Shiraz from Barossa Valley,Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,
