,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Style,Wine Body,Price Option 5,Vegan Friendly,Langtons Classified,Organic
0,12.8%,Audrey Wilkinson,Screw Cap,Australia,2017*,Chardonnay,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,Awards: Double Gold Medal - Royal Adelaide Wine Show 2015. 1 Gold Medal - NSW Wine Awards 2015,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,750mL,7.6,New South Wales,Chardonnay,Dry,,,,,
1,13%,Woodlands,Screw Cap,Australia,2017*,Chardonnay,$26.60 in any six,$319.20 per case of 12,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,7.7,Western Australia,Chardonnay,Dry,,,,,
2,13.0% (2015),Scotchmans Hill,Screw Cap,Australia,2015*,The Hill Chardonnay,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7 (2015),Victoria,Chardonnay,Dry,,,,,
3,13.5%,Stone Bridge,Screw Cap,Australia,,2018 Sauvignon Blanc,$18.99 per bottle,$227.88 per case of 12,,,,Adelaide Hills,750mL,8,South Australia,Sauvignon Blanc,Dry,Light Bodied,,,,
4,,,,,,Unknown,,,,,,,,,,,,,,,,
5,13%,De Bortoli,Screw Cap,Australia,2018*,La Boheme Act Three Pinot Gris,$16.10 in any six,$96.60 per case of 6,$16.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,7.7,Victoria,Pinot Gris,Dry,,,,,
6,11.5%,De Bortoli,Screw Cap,Australia,2017*,First Block Pinot Grigio,$7.00 in any six,$42.00 per case of 6,$7.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,South East Australia,750mL,6.8,,Pinot Grigio,Dry,,,,,
7,10.5%,Tempus Two,Cork,Australia,2015*,Botrytis Semillon 250mL,$14.25 in any six,$85.50 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,250mL,2.1,New South Wales,Semillon,Sweet,,,,,
8,8%,McWilliam's,Screw Cap,Australia,Non Vintage*,Inheritance Fruitwood,$5.70 in any six,$34.20 per case of 6,$5.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,4.7,,,Sweet,,,,,
9,7.0%,Brown Brothers,Screw Cap,Australia,2017,Moscato & Chardonnay,$10.40 in any six,$62.40 per case of 6,$10.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,4.1,Victoria,Moscato Chardonnay,Semi Sweet,,,,,
10,12%,David Hook,Screw Cap,Australia,2018*,Pinot Grigio,$17.09 in any six,$102.50 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 9 of 27 Pinot Grigio from Australia,Hunter Valley,750mL,7.1,New South Wales,Pinot Grigio,Dry,,,,,
11,12.0%,Cleanskin,Screw Cap,Australia,2015*,Semillon Sauvignon Blanc,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.1,,Semillon Sauvignon Blanc,Dry,,,,,
12,13%,Ninth Island,Screw Cap,Australia,2018*,Pinot Grigio,$18.05 in any six,$107.13 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Northern Tasmania,750mL,7.7,Tasmania,Pinot Grigio,Dry,,,,,
13,12%,De Bortoli,Screw Cap,Australia,2017*,Sacred Hill Traminer Riesling,$4.75 in any six,$24.70 per case of 6,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.1,New South Wales,Traminer Riesling,Sweet,,,,,
