,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 4,Vegan Friendly,Wine Body
0,12.5% (2015),Underground,Screw Cap,Australia,2015*,Pinot Grigio,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,7.4 (2015),Victoria,Pinot Grigio,Dry,,,
1,13.5% (2012),Jones Rd,Screw Cap,Australia,2012*,Nepean Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Mornington Peninsula,750mL,8.0 (2012),Victoria,Chardonnay,Dry,,,
2,6.5% (2015),Deakin Estate,Screw Cap,Australia,2015*,Moscato,$5.65 in any six,$33.90 per case of 6,$5.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,3.8 (2015),Victoria,Moscato,Semi Sweet,,,
3,13.0% (2012),Spring Vale,Screw Cap,Australia,2012*,Pinot Gris,$31.40 in any six,$376.80 per case of 12,$32.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",East Coast Tasmania,750mL,7.7 (2012),Tasmania,Pinot Gris,Dry,,,
4,15.00%,Go-Shu,Screw Cap,Australia,Non Vintage,Blue Sake 300ml,$9.45 in any six,$113.40 per case of 12,$9.90 per bottle,,,300mL,3.4,,Sake,,,,
5,11.00%,Winter Creek,Screw Cap,Australia,2010,Riesling 2010,$18.95 in any six,$227.40 per case of 12,$19.90 per bottle,Awards: Trophy - Boutique Wine Awards 2012 (Best Riesling of Show),Eden Valley,750mL,6.5,South Australia,Riesling,Dry,,,
6,13.5% (2010),Rex Watson,Screw Cap,Australia,2010,McKie 3 Chardonnay,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Coonawarra,750mL,8.0 (2010),South Australia,Chardonnay,Dry,,,
7,13.00%,Winburndale,Screw Cap,Australia,,Alluvial Chardonnay 2011,$23.75 in any six,$285.00 per case of 12,$24.99 per bottle,,,750mL,7.7,New South Wales,Chardonnay,Dry,,,
8,12.50%,Peter Lehmann,Screw Cap,Australia,2004,Wigan Eden Valley Riesling 2004,$44.99 per bottle,Ranked 2 of 28 Riesling from South Australia,,,Eden Valley,750mL,7.4,South Australia,Riesling,Dry,,,
9,14.0% (2011),Salitage,Screw Cap,Australia,2011*,Unwooded Chardonnay,$14.19 in any six,$168.09 per case of 12,$14.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Pemberton,750mL,8.3 (2011),Western Australia,Chardonnay,Dry,,,
10,6.0% (2012),Hideaway Ridge,Screw Cap,Australia,2012*,Moscato,$5.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,4.7 (2012),,Moscato,Semi Sweet,,,
11,13.0% (2011),AC/DC,Screw Cap,Australia,2011*,Thunderstruck Chardonnay,$9.49 in any six,$56.94 per case of 6,$9.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hilltops,750mL,7.7 (2011),New South Wales,Chardonnay,Dry,,,
12,11.5% (2013),Quarry Hill,Screw Cap,Australia,2013*,North Block Dry White,$17.09 in any six,$205.08 per case of 12,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Canberra District,750mL,6.8 (2013),New South Wales,White Blend,Dry,,,
13,14.0% (2009),Millbrook,Screw Cap,Australia,2009*,Chardonnay,$28.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8.3 (2009),Western Australia,Chardonnay,Dry,,,
